object_id,student_id,subject,year,score,is_suspicious,anomaly_type
1,1_1,Математика,2026,58,0,normal
1,1_2,Математика,2026,68,0,normal
1,1_3,Математика,2026,45,0,normal
1,1_4,Математика,2026,63,0,normal
1,1_5,Математика,2026,74,0,normal
1,1_6,Математика,2026,58,0,normal
1,1_7,Математика,2026,70,0,normal
1,1_8,Математика,2026,68,0,normal
1,1_9,Математика,2026,70,0,normal
1,1_10,Математика,2026,64,0,normal
1,1_11,Математика,2026,63,0,normal
1,1_12,Математика,2026,68,0,normal
1,1_13,Математика,2026,72,0,normal
1,1_14,Математика,2026,60,0,normal
1,1_15,Математика,2026,71,0,normal
1,1_16,Математика,2026,69,0,normal
1,1_17,Математика,2026,83,0,normal
1,1_18,Математика,2026,68,0,normal
1,1_19,Математика,2026,63,0,normal
1,1_20,Математика,2026,93,0,normal
1,1_21,Математика,2026,45,0,normal
2,2_1,Русский язык,2026,71,0,normal
2,2_2,Русский язык,2026,56,0,normal
2,2_3,Русский язык,2026,61,0,normal
2,2_4,Русский язык,2026,59,0,normal
2,2_5,Русский язык,2026,64,0,normal
2,2_6,Русский язык,2026,50,0,normal
2,2_7,Русский язык,2026,71,0,normal
2,2_8,Русский язык,2026,86,0,normal
2,2_9,Русский язык,2026,72,0,normal
2,2_10,Русский язык,2026,63,0,normal
2,2_11,Русский язык,2026,69,0,normal
2,2_12,Русский язык,2026,52,0,normal
2,2_13,Русский язык,2026,47,0,normal
2,2_14,Русский язык,2026,68,0,normal
2,2_15,Русский язык,2026,56,0,normal
2,2_16,Русский язык,2026,49,0,normal
2,2_17,Русский язык,2026,53,0,normal
2,2_18,Русский язык,2026,51,0,normal
2,2_19,Русский язык,2026,62,0,normal
2,2_20,Русский язык,2026,66,0,normal
2,2_21,Русский язык,2026,69,0,normal
2,2_22,Русский язык,2026,69,0,normal
2,2_23,Русский язык,2026,68,0,normal
2,2_24,Русский язык,2026,59,0,normal
2,2_25,Русский язык,2026,55,0,normal
2,2_26,Русский язык,2026,48,0,normal
2,2_27,Русский язык,2026,71,0,normal
2,2_28,Русский язык,2026,59,0,normal
2,2_29,Русский язык,2026,57,0,normal
2,2_30,Русский язык,2026,71,0,normal
2,2_31,Русский язык,2026,53,0,normal
2,2_32,Русский язык,2026,68,0,normal
2,2_33,Русский язык,2026,64,0,normal
2,2_34,Русский язык,2026,52,0,normal
2,2_35,Русский язык,2026,60,0,normal
3,3_1,Обществознание,2026,73,1,low_variance
3,3_2,Обществознание,2026,73,1,low_variance
3,3_3,Обществознание,2026,75,1,low_variance
3,3_4,Обществознание,2026,73,1,low_variance
3,3_5,Обществознание,2026,75,1,low_variance
3,3_6,Обществознание,2026,75,1,low_variance
3,3_7,Обществознание,2026,80,1,low_variance
3,3_8,Обществознание,2026,73,1,low_variance
3,3_9,Обществознание,2026,73,1,low_variance
3,3_10,Обществознание,2026,76,1,low_variance
3,3_11,Обществознание,2026,77,1,low_variance
3,3_12,Обществознание,2026,80,1,low_variance
3,3_13,Обществознание,2026,78,1,low_variance
3,3_14,Обществознание,2026,77,1,low_variance
3,3_15,Обществознание,2026,76,1,low_variance
3,3_16,Обществознание,2026,77,1,low_variance
3,3_17,Обществознание,2026,74,1,low_variance
3,3_18,Обществознание,2026,74,1,low_variance
3,3_19,Обществознание,2026,72,1,low_variance
3,3_20,Обществознание,2026,75,1,low_variance
3,3_21,Обществознание,2026,77,1,low_variance
3,3_22,Обществознание,2026,75,1,low_variance
3,3_23,Обществознание,2026,73,1,low_variance
3,3_24,Обществознание,2026,74,1,low_variance
3,3_25,Обществознание,2026,76,1,low_variance
3,3_26,Обществознание,2026,74,1,low_variance
3,3_27,Обществознание,2026,77,1,low_variance
3,3_28,Обществознание,2026,72,1,low_variance
4,4_1,Математика,2026,61,1,threshold_shift
4,4_2,Математика,2026,59,1,threshold_shift
4,4_3,Математика,2026,65,1,threshold_shift
4,4_4,Математика,2026,61,1,threshold_shift
4,4_5,Математика,2026,59,1,threshold_shift
4,4_6,Математика,2026,59,1,threshold_shift
4,4_7,Математика,2026,60,1,threshold_shift
4,4_8,Математика,2026,60,1,threshold_shift
4,4_9,Математика,2026,57,1,threshold_shift
4,4_10,Математика,2026,64,1,threshold_shift
4,4_11,Математика,2026,61,1,threshold_shift
4,4_12,Математика,2026,61,1,threshold_shift
4,4_13,Математика,2026,63,1,threshold_shift
4,4_14,Математика,2026,59,1,threshold_shift
4,4_15,Математика,2026,59,1,threshold_shift
4,4_16,Математика,2026,62,1,threshold_shift
4,4_17,Математика,2026,61,1,threshold_shift
4,4_18,Математика,2026,62,1,threshold_shift
4,4_19,Математика,2026,61,1,threshold_shift
4,4_20,Математика,2026,61,1,threshold_shift
4,4_21,Математика,2026,86,1,threshold_shift
4,4_22,Математика,2026,84,1,threshold_shift
4,4_23,Математика,2026,55,1,threshold_shift
4,4_24,Математика,2026,87,1,threshold_shift
4,4_25,Математика,2026,92,1,threshold_shift
4,4_26,Математика,2026,85,1,threshold_shift
4,4_27,Математика,2026,73,1,threshold_shift
4,4_28,Математика,2026,69,1,threshold_shift
4,4_29,Математика,2026,81,1,threshold_shift
4,4_30,Математика,2026,70,1,threshold_shift
4,4_31,Математика,2026,78,1,threshold_shift
4,4_32,Математика,2026,75,1,threshold_shift
4,4_33,Математика,2026,85,1,threshold_shift
4,4_34,Математика,2026,72,1,threshold_shift
5,5_1,Математика,2026,57,0,normal
5,5_2,Математика,2026,74,0,normal
5,5_3,Математика,2026,72,0,normal
5,5_4,Математика,2026,50,0,normal
5,5_5,Математика,2026,56,0,normal
