object_id,subject,year,n_students,mean_score,median_score,std_score,min_score,max_score,high_score_share,low_score_share,threshold_share,threshold_jump,skewness,kurtosis,is_suspicious,anomaly_type,mean_deviation,predicted_label,risk_probability
1,Математика,2026,21,66.33333333333333,68.0,10.407567454379546,45,93,0.09523809523809523,0.0,0.14285714285714285,0.09523809523809523,0.14824673042747583,1.1160959217106976,0,normal,0.35325909834277525,0,0.005
2,Русский язык,2026,35,61.4,61.0,8.721729841526361,47,86,0.02857142857142857,0.0,0.17142857142857143,0.0,0.364970382568741,-0.10671030981300955,0,normal,-4.580074234990555,0,0.0
5,Математика,2026,30,64.76666666666667,66.5,10.818759427751203,31,87,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,-0.8125236741465517,1.372995893400284,0,normal,-1.2134075683238876,0,0.0
7,Обществознание,2026,22,57.0,58.0,13.651506743346552,36,85,0.045454545454545456,0.18181818181818182,0.22727272727272727,0.0,0.1081628126194432,-0.7974662700773352,0,normal,-8.980074234990553,0,0.0
8,Русский язык,2026,24,70.20833333333333,69.0,8.962789589308802,53,88,0.125,0.0,0.125,0.041666666666666664,0.1746428896358835,-0.48678871433096926,0,normal,4.228259098342775,0,0.005
9,Математика,2026,20,61.2,58.5,11.668761716651858,45,89,0.15,0.0,0.3,-0.15,1.0780311893531205,0.24641630914621482,0,normal,-4.7800742349905505,0,0.0
10,Математика,2026,28,61.392857142857146,62.5,12.728874054443212,27,87,0.07142857142857142,0.07142857142857142,0.25,0.07142857142857142,-0.4155640351733432,0.5910412912118401,0,normal,-4.5872170921334074,0,0.0
11,Русский язык,2026,31,73.3225806451613,74.0,4.999271539026033,64,82,0.0967741935483871,0.0,0.25806451612903225,0.0,-0.15253686970469676,-1.0361055401304393,0,normal,7.342506410170742,0,0.165
12,Математика,2026,29,64.86206896551724,66.0,11.802174369891029,44,87,0.13793103448275862,0.0,0.20689655172413793,0.20689655172413793,0.06216291843131021,-0.8125799197433778,0,normal,-1.118005269473315,0,0.0
14,Обществознание,2026,32,52.28125,53.0,10.701151734159271,25,72,0.0,0.125,0.1875,0.09375,-0.3017186852692304,-0.04360901654697935,0,normal,-13.698824234990553,0,0.0
16,Русский язык,2026,25,56.96,55.0,11.642954951385839,37,85,0.08,0.08,0.16,0.04,0.6436208897448048,0.015380404283919624,0,normal,-9.020074234990552,0,0.0
18,Русский язык,2026,27,54.666666666666664,53.0,9.3571125650788,32,74,0.0,0.07407407407407407,0.25925925925925924,-0.1111111111111111,-0.13652670746414103,0.7416900718905399,0,normal,-11.313407568323889,0,0.0
19,Русский язык,2026,28,53.67857142857143,53.0,9.878018784252276,26,77,0.0,0.03571428571428571,0.21428571428571427,-0.07142857142857142,-0.14723458115695034,0.9925728778944403,0,normal,-12.301502806419123,0,0.005
22,Математика,2026,24,65.0,64.0,10.935416468216166,40,93,0.041666666666666664,0.0,0.20833333333333334,0.041666666666666664,0.12904399479301817,0.5699624858866814,0,normal,-0.9800742349905534,0,0.0
23,Математика,2026,31,64.0,65.0,8.028176187853989,44,87,0.03225806451612903,0.0,0.16129032258064516,-0.03225806451612903,0.1372792619785173,1.291927062197332,0,normal,-1.9800742349905534,0,0.0
24,Обществознание,2026,17,50.411764705882355,51.0,6.240841039941103,40,61,0.0,0.0,0.23529411764705882,-0.058823529411764705,-0.24589904180956973,-1.0220230328709785,0,normal,-15.568309529108198,0,0.0
26,Русский язык,2026,28,67.35714285714286,68.0,8.84071056337137,53,86,0.10714285714285714,0.0,0.10714285714285714,0.10714285714285714,0.15495625922010517,-0.5330383403054637,0,normal,1.3770686221523079,0,0.005
27,Обществознание,2026,26,66.26923076923077,66.0,8.501392158879229,49,78,0.0,0.0,0.23076923076923078,0.19230769230769232,-0.49497380445622513,-0.6590103628161565,0,normal,0.28915653424022025,0,0.025
28,Математика,2026,29,63.275862068965516,66.0,12.187887010227758,32,80,0.034482758620689655,0.06896551724137931,0.1724137931034483,0.0,-0.9313710870058743,0.05179421512670057,0,normal,-2.7042121660250373,0,0.0
29,Русский язык,2026,27,77.44444444444444,78.0,9.310819406727388,60,98,0.37037037037037035,0.0,0.2962962962962963,0.037037037037037035,0.4191493068723811,-0.5936825394996932,0,normal,11.46437020945389,0,0.12
30,Обществознание,2026,16,70.0625,70.0,6.159025389621315,59,84,0.0625,0.0,0.125,0.0625,0.24910635971359193,-0.17295445416083677,0,normal,4.082425765009447,0,0.02
32,Русский язык,2026,31,54.03225806451613,54.0,7.536936448596133,41,68,0.0,0.0,0.2903225806451613,-0.0967741935483871,0.07945740909036374,-1.054412943784741,0,normal,-11.947816170474425,0,0.0
34,Математика,2026,23,67.0,67.0,7.424987190737012,52,81,0.043478260869565216,0.0,0.13043478260869565,0.043478260869565216,-0.30271218140344414,-0.445576132711043,0,normal,1.0199257650094466,0,0.01
36,Математика,2026,32,64.5,64.0,10.307764064044152,46,80,0.03125,0.0,0.34375,-0.125,-0.07635592148202672,-1.2141730103806228,0,normal,-1.4800742349905534,0,0.0
37,Русский язык,2026,25,55.32,54.0,9.946738158813671,31,78,0.0,0.08,0.12,-0.04,-0.11183024910612571,0.5959927687627609,0,normal,-10.660074234990553,0,0.0
